Price;RegistrationYear;Power;Kilometer
480;1993;0;150000
18300;2011;190;125000
9800;2004;163;125000
1500;2001;75;150000
3600;2008;69;90000
650;1995;102;150000
2200;2004;109;150000
0;1980;50;40000
14500;2014;125;30000
999;1998;101;150000
2000;2004;105;150000
2799;2005;140;150000
999;1995;115;150000
2500;2004;131;150000
17999;2011;190;70000
450;1910;0;5000
300;2016;60;150000
1750;2004;75;150000
7550;2007;136;150000
1850;2004;102;150000
10400;2009;160;100000
3699;2002;231;150000
2900;2018;90;150000
2900;2018;90;150000
